query_id,industry,intent,query_uk,query_en
ecom-05,ecom,TASK,Де купити ноутбук онлайн?,Where can I buy a laptop online?
ecom-06,ecom,TASK,Де замовити смартфон з доставкою?,Where can I order a smartphone with delivery?
ecom-07,ecom,TASK,Де купити побутову техніку в розстрочку?,Where can I buy home appliances on an installment plan?
ecom-08,ecom,TASK,Де купити одяг онлайн з можливістю повернення?,Where can I buy clothes online with the option to return them?
ecom-09,ecom,COMP,Маркетплейс чи спеціалізований магазин техніки — де краще купувати?,A marketplace or a specialized electronics store — where is it better to buy?
ecom-10,ecom,COMP,Який інтернет-магазин має найшвидшу доставку?,Which online store has the fastest delivery?
ecom-11,ecom,COMP,У якому магазині найкраща програма лояльності?,Which store has the best loyalty program?
ecom-12,ecom,COMP,Де найбільший вибір електроніки?,Where is the largest selection of electronics?
ecom-13,ecom,PRICE,Де найдешевше купити телевізор?,Where is the cheapest place to buy a TV?
ecom-14,ecom,PRICE,У якому інтернет-магазині найкращі знижки?,Which online store has the best discounts?
ecom-15,ecom,PRICE,Де вигідно купити техніку на «чорну п'ятницю»?,Where can I get good Black Friday deals on electronics?
ecom-16,ecom,PRICE,Де безкоштовна доставка замовлень?,Which stores offer free delivery of orders?
ecom-17,ecom,TRUST,Яким інтернет-магазинам можна довіряти?,Which online stores can be trusted?
ecom-18,ecom,TRUST,Де купити оригінальну техніку з офіційною гарантією?,Where can I buy genuine electronics with an official warranty?
ecom-19,ecom,TRUST,Який магазин без проблем повертає гроші?,Which store refunds money without hassle?
ecom-20,ecom,TRUST,Де безпечно платити карткою онлайн?,Where is it safe to pay by card online?
pharma-01,pharma,BEST,Яка аптека в Україні найкраща?,Which pharmacy in Ukraine is the best?
pharma-02,pharma,BEST,Де краще замовляти ліки онлайн?,Where is it better to order medicines online?
pharma-03,pharma,BEST,Порадь зручний сервіс пошуку ліків.,Recommend a convenient service for finding medicines.
pharma-04,pharma,BEST,Яка аптечна мережа має найбільший асортимент?,Which pharmacy chain has the widest range of products?
pharma-05,pharma,TASK,Де забронювати ліки онлайн і забрати в аптеці?,Where can I reserve medicines online and pick them up at a pharmacy?
pharma-06,pharma,TASK,Де замовити ліки з доставкою додому?,Where can I order medicines with home delivery?
pharma-07,pharma,TASK,Де знайти рідкісні ліки в наявності?,Where can I find rare medicines in stock?
pharma-08,pharma,TASK,Де отримати ліки за програмою «Доступні ліки»?,Where can I get medicines under the 'Affordable Medicines' program?
pharma-09,pharma,COMP,Де зручніше купувати ліки — в аптечній мережі чи через агрегатор?,Is it more convenient to buy medicines from a pharmacy chain or through an aggregator?
pharma-10,pharma,COMP,Яка аптека має найзручніший застосунок?,Which pharmacy has the most convenient app?
pharma-11,pharma,COMP,У якій аптеці найкраща програма знижок?,Which pharmacy has the best discount program?
pharma-12,pharma,COMP,Яка аптека доставляє найшвидше?,Which pharmacy delivers the fastest?
pharma-13,pharma,PRICE,Де найдешевші ліки?,Where are medicines the cheapest?
pharma-14,pharma,PRICE,Як порівняти ціни на ліки в різних аптеках?,How can I compare medicine prices across different pharmacies?
pharma-15,pharma,PRICE,У якій аптеці найнижчі ціни на вітаміни?,Which pharmacy has the lowest prices on vitamins?
pharma-16,pharma,PRICE,Де є знижки для пенсіонерів?,Which pharmacies offer discounts for pensioners?
pharma-17,pharma,TRUST,У яких аптеках точно немає підробок?,Which pharmacies definitely don't sell counterfeit medicines?
pharma-18,pharma,TRUST,Якій онлайн-аптеці можна довіряти?,Which online pharmacy can be trusted?
pharma-19,pharma,TRUST,Де можна отримати консультацію фармацевта онлайн?,Where can I get an online consultation with a pharmacist?
pharma-20,pharma,TRUST,Які аптеки працюють цілодобово?,Which pharmacies are open 24/7?
post-01,post,BEST,Яка служба доставки в Україні найкраща?,Which parcel delivery service in Ukraine is the best?
post-02,post,BEST,Чим краще відправляти посилки по Україні?,What is the best way to send parcels within Ukraine?
post-03,post,TASK,Як відправити посилку за кордон?,How can I send a parcel abroad?
post-04,post,TASK,Чим доставити великогабаритний вантаж?,Which service should I use to ship oversized cargo?
post-05,post,COMP,Яка служба доставляє найшвидше?,Which parcel service delivers the fastest?
post-06,post,COMP,У кого зручніші поштомати?,Which service has more convenient parcel lockers?
post-07,post,PRICE,Якою службою найдешевше відправити посилку?,Which service is the cheapest for sending a parcel?
post-08,post,PRICE,Де найдешевша доставка з-за кордону?,Which service offers the cheapest delivery from abroad?
post-09,post,TRUST,Якій службі доставки можна довірити цінну посилку?,Which delivery service can I trust with a valuable parcel?
post-10,post,TRUST,Яка служба найкраще компенсує пошкоджені посилки?,Which service compensates best for damaged parcels?
food-01,food,BEST,Який сервіс доставки їжі найкращий?,Which food delivery service is the best?
food-02,food,BEST,Де зручно замовляти продукти додому?,Where is it convenient to order groceries to my home?
food-03,food,TASK,Де замовити продукти із супермаркету з доставкою сьогодні?,Where can I order supermarket groceries with same-day delivery?
food-04,food,TASK,Де замовити їжу з ресторану пізно ввечері?,Where can I order restaurant food late in the evening?
food-05,food,COMP,Який сервіс доставки їжі найшвидший?,Which food delivery service is the fastest?
food-06,food,COMP,У якому сервісі найбільший вибір ресторанів?,Which service has the largest selection of restaurants?
food-07,food,PRICE,У якому сервісі найдешевша доставка їжі?,Which service has the cheapest food delivery?
food-08,food,PRICE,Де є підписка на безкоштовну доставку продуктів?,Which services offer a subscription for free grocery delivery?
food-09,food,TRUST,Який сервіс доставки продуктів привозить свіже?,Which grocery delivery service brings fresh products?
food-10,food,TRUST,Який сервіс доставки їжі має найкращу підтримку?,Which food delivery service has the best customer support?
