id,lang,answer_ending,label (context_request / generic_offer / none)
34,en,"o hours; no membership required, though service fees and item markups apply. Rolling Stone +2 Amazon Fresh Best for: Prime members wanting integrated, scheduled delivery. Freshness Details: Uses insulated bags during transit to keep meat, seafood, produce, and dairy at proper temperatures. Delivery/Cost: One to two-hour delivery windows available in eligible cities; free for Prime members on orders over $35. NBC News +2 To help narrow down the best service for you, please let me know: What types of fresh products you order most often (produce, meat, specialty items) Your preferred budget or subscription preference Whether you want to shop from local neighborhood stores or a specific retailer",
35,uk," портали (наприклад, «Дія»), які використовують захищені платіжні системи (LiqPay, Fondy, WayForPay). iPay.ua +3 Поради для безпечних платежів Використовуйте окрему віртуальну картку для покупок в інтернеті та тримайте на ній мінімум коштів. Завжди перевіряйте адресу сайту (наявність значка замка та протоколу https://). Підтверджуйте операції через 3D-Secure (одноразовий пароль з SMS чи додатку банку). Нікому й ніколи не повідомляйте CVV-код (три цифри на звороті), пін-код та повні паролі від банкінгу. Portmone.com +3 Якщо ви хочете дізнатися більше, скажіть: Який саме платіж або покупку ви збираєтеся здійснити? Яким банком ви користуєтеся? Я підкажу найкращий і найбезпечніший спосіб оплати.",
37,uk,"має 1 день між обласними центрами та великими містами. Meest Пошта та Укрпошта: Доставляють по Україні трохи довше — переважно від 2 до 5 днів залежно від напрямку. Нова пошта Термінова доставка по місту (експрес) Якщо потрібна доставка за лічені години в межах одного міста (наприклад, у Хмельницькому), найшвидшими є спеціалізовані кур'єрські сервіси: iPOST: Доставка від 30–60 хвилин. Uklon Delivery: Швидка доставка містом день у день. Glovo: Термінова доставка їжі, документів та дрібних речей за 30–45 хвилин. ipost.ua +1 Якщо ви розкажете: Звідки і куди потрібно доставити посилку? Це відправлення між містами чи по місту? Я підкажу найбільш вигідний і швидкий варіант саме для вашого випадку.",
42,uk,"Категорій Особливості асортименту Аптека АНЦ Понад 33 000 SKU Величезний вибір імпортних та рідкісних ліків онлайн, розвинена система інтернет-замовлень. Мед-Сервіс 121 товарна категорія Найбільш диверсифікований асортимент, великий вибір медичної техніки та товарів для мам і малюків. Аптека Подорожник Понад 25 000 SKU Базовий асортимент у кожній точці завдяки широкій географії, розвинені ВТМ (власні торгові марки). Аптека 9-1-1 100 товарних категорій Потужний сервіс пошуку аналогів ліків та замовлення дефіцитних медикаментів. Який саме тип товарів (рідкісні рецептурні ліки, лікувальна косметика, медтехніка чи дитяче харчування) ви шукаєте? Я підкажу, в якій мережі його вибір буде найкращим.",
43,en,"Reliability Ownership Structure: State ownership provides ultimate sovereign guarantees on retail deposits. Foreign-capital banks rely on deep-pocketed international parent groups. cib.com.ua +1 Liquidity Margins: Look for robust instant liquidity indicators and prudent non-performing loan management. OTP Bank, Ukraine +1 Systemic Importance: The National Bank of Ukraine classifies these institutions as critical pillars for the national economy. Благодійний фонд «Твоя опора» To help tailor this to your needs, please share: Are you looking to open a daily account, place a deposit, or handle business banking? Do you prefer a bank with physical branches in Khmelnytskyi or purely online banking?",
46,en,"Tehnoprostir What to Check Before You Buy Warranty Card: Ensure the seller provides a stamped paper or digital warranty card listing the serial number and purchase date. Fiscal Receipt: Keep your sales receipt, as it serves as a valid proof of purchase for warranty service and returns under consumer protection laws. Authorized Service: Confirm that the brand has a certified service center in Ukraine to handle repairs smoothly. Торгсофт +4 If you tell me: What specific device you are looking to buy (smartphone, laptop, home appliance, etc.) Your preferred budget range Whether you prefer local pickup in Khmelnytskyi or delivery I can help you pinpoint the best current availability and pricing.",
48,uk,"міста, але найнижчі ціни зазвичай пропонують дискаунтери, такі як Аптека Низьких Цін (АНЦ), Аптека Доброго Дня чи сервіси порівняння цін на кшталт Tabletki.ua. Щоб знайти найкращу ціну на конкретний препарат у Хмельницькому: Користуйтеся онлайн-агрегаторами, такими як Tabletki.ua, де можна порівняти вартість в аптеках вашого району. Оформлюйте замовлення чи бронь через інтернет — у багатьох мережах (наприклад, «Подорожник» чи АНЦ) ціна при онлайн-резервуванні нижча, ніж безпосередньо в касі. Звертайте увагу на акції та програми лояльності конкретних мереж. Якщо ви напишете назву вітамінів, які вам потрібні, я допоможу перевірити актуальні ціни та наявність у найближчих аптеках Хмельницького.",
55,uk,"вто, кафе тощо)? Чи плануєте користуватися кредитними коштами, чи тільки власними? Wallet Pro Найкращі кешбеки по категоріях - Wallet Pro 17 вер. 2026 р. — ❗Категорії та розміри кешбеків у деяких банках (ПУМБ, ПриватБанк, Sense bank, Raiffeisen bank та інші) можуть бути індивідуальними... КОШТ ТОП банків для кешбеку у червні - Кошт Медіа 1 черв. 2026 р. — ... які дають кешбек на ту чи інші категорію. Обрано лише найкращі пропозиції банків – ті, які дають кращий від стандарту кешбек. ... tabfinance.com.ua Кешбек від банків України - TAB Finance 1 січ. 2026 р. — * Новини * Огляди * Кешбек * Корисне * Банки * Бонуси ... Кешбек від банків України Кешбек на січень 2026. Порівняння пропозицій «...",
72,en,"liability and extensive branch access. privatbank.ua +1 ✅ PrivatBank Security: State-owned backing Market Share: Largest in Ukraine Accessibility: Wide branch and ATM network Simplicity: Intuitive mobile app privatbank.ua +2 💡 Monobank (Universal Bank) Type: Digital-first mobile banking Yield: Competitive deposit rates Fees: Low or zero maintenance fees Convenience: Fast online account opening ТСН +2 📊 Financial Example Deposit Amount: 100,000 UAH Annual Rate: 15% gross return Tax Deduction: 19.5% state tax and levy Net Annual Return: ~12,075 UAH To provide a more tailored recommendation, please share: Your preferred currency (UAH, USD, or EUR) Whether you need instant access or a fixed term",
80,en,"ий талон) with serial numbers
4. **Verify serial numbers** on manufacturer websites when possible
5. **Avoid suspiciously low prices** on marketplaces like OLX or Prom.ua unless from verified official sellers

## Online Marketplaces (Use Caution)
- **Prom.ua** – Check for ""Офіційний дилер"" badge
- **Rozetka** – Filter by official store sellers, avoid random third-party listings

## Red Flags to Avoid
- Gray market imports (""сірий імпорт"") — often lack official Ukrainian warranty service
- Deals significantly below market price
- Sellers who can't provide warranty documentation in Ukrainian

Would you like recommendations for a specific type of electronics (phones, laptops, appliances, etc.)?",
94,en,"ar in major cities
- **Bolt Food** – similar to Glovo, delivers from partner grocery stores
- **Zakaz.ua** – aggregates delivery from multiple supermarket chains (Fora, Auchan, and others)

## Things to Consider
1. **Your city matters** – availability varies significantly between Kyiv, Lviv, Kharkiv, Odesa, and smaller towns
2. **Current situation** – service availability may be affected by security conditions in your specific region
3. **Payment options** – check whether they accept cards, cash on delivery, etc.

**Could you tell me which city you're in?** I can give more specific recommendations, since not all services operate everywhere, especially depending on regional safety conditions.",
95,uk,"можливістю бронювання
- Мережа власних аптек по Україні

## Сайти популярних аптечних мереж

- **АНЦ** (anc.ua)
- **Бажаємо здоров'я** (apteka.pharm.zt.ua)
- **Подорожник** (podorozhnyk.ua)
- **Аптека низьких цін** (anc.ua)
- **9-1-1** (911.ua)
- **Копійка** (kopiyka.ua)

## Як це працює:

1. Вводите назву ліків у пошук
2. Обираєте своє місто/район
3. Система показує наявність в найближчих аптеках
4. Бронюєте потрібний товар
5. Забираєте в обраній аптеці протягом визначеного часу (зазвичай 1-3 дні)

## Порада

⚠️ Перед замовленням рецептурних препаратів перевірте умови — деякі сервіси вимагають фото рецепта або підтвердження при отриманні.

Хочете, підкажу конкретний сервіс для вашого міста?",
97,uk,"ечних мережах
- **apteka911.com.ua** — має функцію пошуку та порівняння

## Великі аптечні мережі варто перевірити

- Аптека низьких цін
- Аптека доброго дня
- Бажаємо здоров'я
- Подорожник
- Пульс

## Порада для економії

1. **Порівнюйте українських виробників** — вітаміни від Дарниця, Здоров'я, Стирол часто дешевші за імпортні аналоги при схожому складі
2. **Шукайте акції та знижки** — у мережевих аптеках часто є програми лояльності
3. **Замовляйте онлайн** — інтернет-аптеки іноді пропонують ціни нижчі за офлайн
4. **Купуйте великі упаковки** — часто вигідніше за ціною на одну таблетку

Хочете, підкажу, які саме вітаміни вас цікавлять — можу дати загальні орієнтири щодо цінового діапазону?",
100,uk,"ься в посилці
3. **Фото/відео фіксація** — зробіть фото вмісту перед пакуванням
4. **Якісне пакування** — використовуйте міцну упаковку, можливо додаткові послуги пакування від служби
5. **Підтвердження отримання** — оберіть опцію з підписом при отриманні
6. **Збереження документів** — квитанції, накладні, чеки

## Порада:
Для дуже цінних речей (ювелірні вироби, електроніка преміум-класу) розгляньте:
- Особисту передачу через довірену особу
- Спеціалізовані курьерські служби з посиленою охороною
- Банківські інкасаторські послуги (для особливо цінних предметів)

Що саме плануєте відправити? Можу дати більш конкретні рекомендації залежно від типу вмісту та маршруту (по Україні чи міжнародно).",
101,uk,"орювань

## Магазини та супермаркети
- Деякі мережі (наприклад, ""АТБ"", ""Ашан"" раніше) періодично проводять акційні дні для пенсіонерів
- Варто уточнювати у конкретному магазині у вашому місті

## Культура та відпочинок
- **Музеї, театри** — знижені ціни на квитки або безкоштовне відвідування в певні дні
- **Кінотеатри** — іноді пропонують пільгові сеанси

## Де дізнатись точну інформацію
1. **Центр соціальних служб** у вашому місті/районі
2. **Пенсійний фонд України** — консультації щодо пільг
3. **Сайт міської ради** вашого населеного пункту
4. **Управління соціального захисту населення**

---

📍 Якщо вкажете ваше місто, я можу дати більш конкретну інформацію про місцеві програми та знижки!",
107,uk," увагу при виборі:

1. **Тривалість грейс-періоду** — чим довше, тим краще (зазвичай 30-62 дні)
2. **Умови безкоштовного користування** — деякі банки вимагають повного погашення для збереження пільгового періоду
3. **Річна відсоткова ставка** після закінчення грейс-періоду
4. **Річне обслуговування картки** — є безкоштовні варіанти
5. **Кешбек та бонусні програми**
6. **Мінімальний обов'язковий платіж**

## Як оформити:

- **Онлайн** — через застосунок банку (monobank, ПриватБанк) — найшвидший спосіб
- **У відділенні** — з паспортом та ІПН

💡 **Порада:** Порівняйте умови на сайтах-агрегаторах (Мінфін, Finance.ua) перед вибором конкретного банку.

Хочете детальніше про якийсь конкретний банк?",
109,uk,"Comfy
- Foxtrot
- Інтернет-магазин одягу/взуття
- AliExpress
- Інший магазин

## Загальні орієнтири по популярних магазинах:

**Rozetka** — безкоштовна доставка Новою поштою при замовленні від певної суми (зазвичай від 1000+ грн, умови можуть змінюватись)

**Prom.ua** — залежить від конкретного продавця, кожен встановлює свої умови

**Епіцентр** — може бути безкоштовна доставка при покупці від певної суми або самовивіз з магазину

**Comfy/Foxtrot** — часто безкоштовна доставка техніки від певної суми замовлення

---

💡 Якщо назвете конкретний магазин, зможу дати точнішу інформацію або підказати, де це варто перевірити (зазвичай умови доставки вказані в розділі ""Доставка та оплата"" на сайті).",
117,uk,"кривалось гарантією ФГВФО

2. **Перевірте актуальний статус банку** на сайті НБУ (bank.gov.ua) — там є інформація про фінансовий стан і рейтинги

3. **Уточніть умови ФГВФО** на офіційному сайті fg.gov.ua — там є перелік банків-учасників та деталі покриття

4. **Розгляньте валютну диверсифікацію** — частину заощаджень тримати в гривні, частину — у стабільній валюті

⚠️ Я не можу дати персоналізовану фінансову консультацію та не володію інформацією в реальному часі про поточний фінансовий стан банків. Рекомендую перевірити свіжі дані на сайтах НБУ та ФГВФО, а також, за потреби, звернутись до фінансового консультанта.

Чи є конкретна сума або мета заощаджень, під яку потрібна детальніша порада?",
119,uk," (Monobank, ПриватБанк) дозволяють створити окрему картку для онлайн-покупок з лімітом коштів

2. **Увімкніть 3D Secure** — підтвердження платежу через SMS або push-повідомлення

3. **Не зберігайте дані картки** на сайтах, якщо не довіряєте їм повністю

4. **Перевіряйте суму** перед підтвердженням платежу

5. **Слідкуйте за списаннями** через мобільний банк

## На що звернути увагу

⚠️ Уникайте оплати:
- На сайтах з дуже підозріло низькими цінами
- Якщо просять дані картки поза формою оплати (наприклад, в чаті чи по телефону)
- На сайтах без HTTPS
- Якщо продавець наполягає на незвичних способах оплати

Якщо потрібна допомога з конкретним сервісом чи сайтом — можу дати більш детальну оцінку.",
123,en,"de:

- **Подорожник**
- **АНЦ**
- **Аптека Доброго Дня**
- **36,6**
- **Аптека 24**
- **Здорова Родина**

To find one near you:

1. Search Google Maps for:  
   - **“цілодобова аптека”**  
   - **“аптека 24 години”**

2. Use pharmacy aggregator sites/apps:
   - **apteka.ua / tabletki.ua**
   - **liki24.com**
   - **Doc.ua**  
   Many have a “цілодобові” / “24/7” filter.

3. Always call ahead to confirm. Hours can change due to martial law, curfews, or local restrictions.

Also note: even if a pharmacy is open 24/7, local **curfew rules** may still prevent you from being outside during certain hours.

If you tell me your city or district, I can help you find specific 24-hour pharmacies there.",
130,en,"convenience can vary.

**Useful tips for Ukraine:**  
- Use online aggregators like **Tabletki.ua** or **Apteka.net.ua**. They compare prices, show availability in specific cities (e.g., Kyiv, Lviv, Odesa), and let you reserve medicines online in a specific pharmacy.
- Many pharmacies in Ukraine require a prescription from a doctor for prescription-drug purchases (especially after 2023 rules for antibiotics). For over-the-counter needs, any listed chain will be fine.
- If you have a particular health issue, ask a local doctor or pharmacist for recommendations, as availability can vary by region and store.

Would you like me to help you find a specific medicine or compare prices in your city?",
138,en,"tal-only, so there are no physical branches.
- **PrivatBank** — the largest network, with branches everywhere, phone support, and online chat. Good if you need offline access or a wide range of services, but wait times can sometimes be longer.
- **Raiffeisen Bank Aval / UKRSIBBANK** — often praised for **in-branch service** and more personalized support, including better English-language assistance.

So if you want quick everyday support and don’t need branches, **monobank** is a strong choice. If you need face-to-face service or English support, **PrivatBank or Raiffeisen** may be safer.

What matters most to you — English-language support, physical branches, salary card, or mobile banking?",
142,en,"ed:
- An **electronic prescription** from your family doctor, therapist, or pediatrician.
- The prescription number and code — usually sent to your phone by SMS.

### How to find a participating pharmacy:
- Look for a sign/sticker on the pharmacy: **“Доступні ліки”** or **“Тут є Доступні ліки”**.
- Call the NHSU contact center: **16-77**.
- Check the official NHSU website: **nszu.gov.ua**.
- Use the official map of participating pharmacies: **liky.gov.ua**.
- Ask your doctor or local pharmacist.

Medicines under the program are fully or partially reimbursed, depending on the specific drug. You can use the prescription at any participating pharmacy — you are not tied to one specific location.",
147,uk,"бмінниками (P2P), але це вже сіра зона.

### Підсумок (що обрати?)
1.  **Для щоденних переказів фізособам (0 грн):** **monobank** або **Sense Bank**. Вони дають реальний нуль на перекази з картки на картку.
2.  **Для отримання зарплати та зняття готівки (без комісій):** ПриватБанк (найбільша мережа банкоматів), але для переказів він вже не найвигідніший.
3.  **Для пенсій чи мінімальних витрат:** **А-Банк** або **izibank** (нуль за обслуговування та безкоштовні перекази).

**Порада:** Зараз в Україні діє правило: рахунок можна відкрити в 5 хвилин онлайн. Найкраща стратегія — тримати основну картку в monobank (для переказів), а зняття готівки робити через ПриватБанк (там найбільше банкоматів).",
148,uk,"** — allo.ua  
- **MOYO** — moyo.ua  

Це офіційні мережі, тому там зазвичай є нормальна гарантія та можливість повернення.

Ще корисні майданчики:

- **Hotline.ua** — агрегатор цін. Тут зручно порівняти ціни на конкретну модель у різних магазинах.
- **Prom.ua** і **OLX** — маркетплейси, де можна знайти дешевше, але обов’язково перевіряйте рейтинг продавця, відгуки та умови гарантії.
- **Stylus.ua**, **Telemart.ua**, **Click.ua** — також відомі магазини електроніки.

Порада:  
Оберіть модель на **Hotline.ua**, подивіться ціни й відгуки, а купуйте там, де є офіційна гарантія і зрозумілі умови доставки. Оплата зазвичай можлива карткою або післяплатою через «Нову пошту», «Укрпошту» чи кур’єром.",
150,uk,"роші без проблем.

**Важливі поради, щоб повернення пройшло без проблем:**
1. **Зберігайте чек або електронний чек** — це головний документ для повернення.
2. **Не пошкоджуйте упаковку** і не використовуйте товар, якщо плануєте його повернути.
3. **Перевіряйте умови повернення на сайті магазину** — деякі категорії товарів (гігієнічні, ліки, продукти) можуть не підлягати поверненню.
4. **Якщо магазин відмовляє** — нагадайте про Закон «Про захист прав споживачів» (ст. 9) і зверніться до Держпродспоживслужби або суду.

Хоча «без проблем» — поняття суб’єктивне і залежить від конкретного випадку, перелічені мережі зазвичай дотримуються закону і мають хорошу репутацію у питаннях повернення коштів.",
155,en,"heir official Ukrainian/international sites for current online ordering and return rules.

### ✅ Tips for returns in Ukraine

- Keep the **receipt/invoice**, original **tags**, and **packaging**.  
- Ukrainian consumer law generally gives you at least **14 days** to return an online purchase if the item is unused and in original condition.  
- Many stores let you return via **Nova Poshta**, **Ukrposhta**, or courier.  
- Check each store’s page called **“Повернення” / “Доставка і оплата”** before ordering, because policies can change depending on your region.

If you want, I can help you narrow it down by budget, style, or whether you prefer local Ukrainian stores vs. international delivery.",
161,uk,"вас немає телефону, лікар видрукує інформаційну довідку з цими даними на папері).*

2. **Прийдіть до аптеки:**
   * Повідомте фармацевту 16-значний номер рецепта.

3. **Оберіть ліки:**
   * Фармацевт запропонує торгові назви ліків, які є в наявності і містять потрібну діючу речовину.
   * Ви зможете обрати повністю **безкоштовні ліки** або препарат іншого виробника **з невеликою доплатою**.

4. **Отримайте препарат:**
   * Назвіть фармацевту 4-значний код підтвердження з СМС (код погашення рецепта) та заберіть ліки.

*Примітка: під час воєнного стану, у разі відсутності світла або інтернету, лікарі також мають право виписувати звичайні **паперові рецепти**, і аптеки зобов'язані їх приймати.*",
167,uk,"еріодично тестує партнерські проекти). Тут досі домінують звичайні відділення.
* **Rozetka:** Має власні поштомати (і точки видачі), але вони призначені виключно для замовлень із їхнього маркетплейсу. Якщо ви часто купуєте на Rozetka — це мегазручно (і безкоштовно для більшості замовлень), але як універсальний поштовий сервіс це не працює.

---

### Підсумок: що обрати?

1. **Для щоденного комфорту (посилки по Україні, відправка):** Однозначно **«Нова пошта»**. За швидкістю, кількістю точок і зручністю додатку їм наразі немає рівних.
2. **Для замовлень з AliExpress та покупок з OLX (якщо хочете зекономити):** Варто спробувати **Meest**, якщо їхній поштомат є у вашому сусідньому супермаркеті.",
192,en," preservation capital in hard currencies. (You can legally purchase up to 50,000 UAH/month equivalent in foreign currency via banking apps for card accounts, or up to 200,000 UAH/month if placed on a 3-month term deposit).
3.  **Consider Military / Government Bonds (ОВДП):**
    *   Instead of standard bank deposits (which have a **19.5% tax** on the interest earned: 18% income tax + 1.5% military levy), consider buying **Ukrainian Domestic Government Bonds (OVDP)**.
    *   They are **100% state-guaranteed**, yield higher returns than standard deposits, and the income from them is **completely tax-free**.
    *   You can easily buy them via apps like **Diia**, **Privat24**, or **Monobank**.",
197,en,"can buy Ukrainian Government Bonds directly inside apps like **Diia (Дія)**, **monobank**, or **Privat24**.
    *   **Why they are better than deposits:**
        *   **0% tax** (Standard bank deposits are taxed at 18% Personal Income Tax + 1.5% Military Tax on earned interest; government bonds are completely tax-free).
        *   100% guaranteed by the Ministry of Finance.
        *   Often offer higher net yields than traditional bank savings accounts.
3.  **Split Large Sums:** If your savings exceed equivalent amounts you are comfortable holding in one place, split them: keep one part in a state bank (PrivatBank) and another in an international bank (e.g., UkrSibbank or Credit Agricole).",
202,uk,"ржавну програму.

4. **Для дорогих орфанних препаратів:** зверніться до профільного лікаря, обласного департаменту охорони здоров’я та пацієнтських організацій. Частина таких ліків закуповується централізовано або видається через лікарні. Наявність безоплатних препаратів у медзакладах можна також перевіряти через платформу **«Є ліки»**.

5. **Якщо препарат має бути безоплатним чи за програмою реімбурсації**, телефонуйте до НСЗУ: **16‑77**.

Не купуйте рецептурні препарати через Telegram, OLX чи з рук: є ризик підробки, неправильного зберігання та незаконного ввезення.

Напишіть **назву препарату, дозування, форму та місто/область** — я підкажу, де саме й за якою діючою речовиною його шукати.",
203,uk,"Це залежить від міста та комендантської години. Найчастіше пізно ввечері в Україні можна замовити через:

- **Glovo** — показує заклади, які зараз відкриті.
- **Bolt Food** — доступний у багатьох великих містах.
- **Власну доставку ресторанів** — піцерії, суші та мережі швидкого харчування нерідко працюють довше за інших.
- **Google Maps** — пошук «доставка їжі», фільтр **«Відкрито зараз»**, потім замовлення телефоном або на сайті.

Під час комендантської години доставка зазвичай не працює, а приймання замовлень може завершуватися за 30–60 хвилин до неї. Напишіть ваше **місто й район** — підкажу конкретні варіанти.",
205,en,"stest, especially when the item is in a local warehouse or available at a Rozetka pickup point—sometimes same day or next day in major cities.
- **Groceries and essentials:** **Glovo**, **Silpo**, or **NOVUS** can deliver within hours where available.
- **Cosmetics:** **MAKEUP** often offers same-day or next-day delivery in larger cities.
- **Home improvement:** **Epicentr** can be fast when stock is available locally.

For nationwide delivery, stores shipping from a nearby warehouse via **Nova Poshta** are usually quickest. Exact speed varies because of location, stock, curfews, and security conditions. If you tell me your **city and what you want to buy**, I can suggest the fastest option.",
208,en,"elivery.
- **Apteka Dobroho Dnia** — https://www.add.ua — courier/postal delivery where available.

Important:

- Delivery availability depends on your city, current security conditions, and the medicine.
- Prescription medicines may require a valid Ukrainian **e-prescription**; controlled medicines and temperature-sensitive products may have additional restrictions.
- Use only official sites and licensed pharmacies. You can verify a pharmacy through Ukraine’s **State Service on Medicines and Drugs Control**: https://www.dls.gov.ua
- For an urgent medical emergency, call **103**.

If you tell me your city and whether the medicine is prescription-only, I can narrow down the practical options.",
214,uk,"Найчастіше **найдешевше по Україні — «Укрпоштою»**, особливо якщо:

- посилка невелика або середня;
- доставка не термінова;
- одержувач живе в селі чи невеликому місті.

**«Нова пошта»** зазвичай дорожча, але швидша, має більше поштоматів і зручніше відстеження. **Meest Пошта** інколи вигідніша за акціями або для окремих міжнародних напрямків.

Для міжнародної доставки:
- невеликі й легкі відправлення — зазвичай **«Укрпошта»**;
- важкі посилки до Європи, США чи Канади — варто порівняти **Meest** та **Укрпошту**.

Точна ціна залежить від **міст відправлення й отримання, ваги, габаритів та оголошеної вартості**. Напишіть ці дані — я допоможу орієнтовно порівняти служби.",
